feature,family,source_file,source_sha256,output_file,output_sha256,selected_value_rule,areas_total,areas_with_value,missing_area_count,source_nonmissing_rows,max_distinct_values_per_area,varying_area_count,classification
AEZ_4000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_7000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_9000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_10000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_12000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_17000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_19000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_20000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_25000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_28000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_30000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
AEZ_31000,aez,Outcome/ipcch_unified/raw/IPCCH_2026_completed.csv,ae696087c3bbb280537ae269a05924133acdb51060d31290523404fa8a717673,Outcome/ipcch_unified/features/ipcch_fixed_slow_features_by_area.csv,89bbda8680b98bc6edddea3fa19f863dadb52dbb0ad88ed09e15997d006ba482,latest nonmissing value by year/month,6227,6227,0,1219868,1,0,verified_static_in_source_panel
