FEWSNET_admin_code,cluster_id,latitude,longitude,is_outlier,cluster_id_original
0,5,9.551002,29.130297,False,5
1,5,9.786447,28.414507,False,5
2,1,7.7992144,32.85308,False,1
3,5,8.417933,26.89562,False,5
4,5,9.243146,27.6138,False,5
5,5,9.334756,26.729689,False,5
6,5,8.667977,27.736115,False,5
7,5,8.930424,26.72393,False,5
8,5,6.150162,31.229462,False,9
9,5,8.291426,30.98072,False,5
10,1,9.490525,32.40192,False,1
11,5,6.4656444,32.00486,False,1
12,9,4.359346,33.44793,False,9
13,5,9.083722,31.442097,False,5
14,5,7.0822926,29.224924,False,5
15,5,7.6175737,31.186474,False,5
16,5,5.4600983,27.893723,False,5
17,5,9.071978,30.688026,False,5
18,5,9.980295,31.84424,False,5
19,5,8.597443,28.589058,False,5
20,5,8.56744,28.109972,False,5
21,5,9.197522,30.075191,False,5
22,9,5.09955,29.06163,False,9
23,9,4.0283284,33.13116,False,9
24,9,4.7170806,31.48342,False,9
25,5,7.5925064,28.024385,False,5
26,9,3.894862,31.46053,False,9
27,9,5.131699,34.65216,False,1
28,9,5.306582,33.461914,False,9
29,9,4.5634127,33.68026,False,9
30,5,8.6339035,29.857418,False,5
31,9,4.27799,30.853539,False,9
32,5,8.174243,30.228167,False,5
33,1,9.255936,33.52691,False,1
34,9,5.249238,32.671417,False,9
35,1,8.833608,33.163315,False,1
36,1,10.023908,33.459976,False,1
37,9,3.9113195,32.210762,False,9
38,1,8.740229,33.862453,False,1
39,5,9.658457,31.642797,False,5
40,5,11.130983,32.370197,False,5
41,9,5.096247,29.684683,False,9
42,5,8.122516,29.919695,False,5
43,5,9.094565,29.2165,False,5
44,5,10.380961,32.56855,False,5
45,9,3.7387795,30.831562,False,9
46,9,5.3078823,30.682564,False,9
47,9,5.2139373,30.20821,False,9
48,9,5.9179792,30.032368,False,9
49,5,6.4713254,27.738218,False,5
50,1,8.583063,32.1197,False,5
51,5,5.3084807,28.205763,False,5
52,5,7.524552,30.336622,False,5
53,5,9.443533,31.452188,False,5
54,5,9.815146,30.118797,False,5
55,1,6.3963685,33.568096,False,1
56,1,7.1130314,33.815495,False,1
57,5,8.617606,25.589775,False,5
58,5,11.362642,32.95721,False,5
59,5,9.268476,29.635662,False,5
60,5,7.0185,29.78404,False,5
61,5,6.7186704,30.013824,False,5
62,5,7.5245805,29.704245,False,5
63,5,6.0432644,27.14289,False,5
64,9,5.662623,31.325756,False,9
65,5,7.847276,29.28494,False,5
66,5,8.246329,28.91646,False,5
67,5,7.080619,28.734674,False,5
68,9,4.3724313,32.567097,False,9
69,5,7.10077,31.322704,False,5
70,5,9.135147,28.391762,False,5
71,1,8.579216,32.827198,False,1
72,1,7.62531,32.11129,False,1
73,5,7.2847724,27.298227,False,5
74,5,6.200243,29.208889,False,5
75,9,5.1247153,28.547338,False,9
76,9,4.251823,30.34422,False,9
77,5,6.793194,30.80245,False,5
78,5,6.3952436,30.486982,False,5
79,14,12.021253,18.109903,False,14
80,14,11.624716,16.231733,False,14
81,14,13.367175,16.21961,False,14
82,14,13.302234,16.865908,False,14
83,14,11.348701,17.941626,False,14
84,14,13.384515,19.630894,False,14
85,14,13.029963,18.46927,False,14
86,14,11.730996,15.252166,False,14
87,14,12.371419,16.8705,False,14
88,14,12.840006,15.631042,False,14
89,14,12.2211,20.031048,False,14
90,14,12.895693,17.57291,False,14
91,14,12.134828,18.777029,False,14
92,14,12.512603,15.298653,False,14
93,14,12.423524,19.565012,False,14
94,14,11.059698,15.250352,False,14
95,14,12.120266,15.05159,False,14
96,14,13.481585,15.70248,False,14
97,14,13.369669,15.251934,False,14
98,14,12.910642,21.243002,False,14
99,14,13.563464,21.817802,False,14
100,14,14.510957,21.052895,False,14
101,14,14.42946,21.954435,False,14
102,14,12.454664,20.654144,False,14
103,14,12.499991,21.697868,False,14
104,14,14.972459,22.454733,False,14
105,14,15.010023,21.633837,False,14
106,14,13.666249,20.838526,False,14
107,5,18.054066,23.130514,False,5
108,14,15.324307,17.290596,False,14
109,14,15.498639,19.916807,False,14
110,14,15.3229475,18.913387,False,14
111,14,15.537722,20.296652,False,14
112,14,16.638493,19.141233,False,14
113,14,17.685427,17.365604,False,14
114,14,18.817804,21.118668,False,14
115,14,16.3786,21.253277,False,14
116,14,15.993007,15.935085,False,14
117,14,20.637749,18.48788,False,14
118,14,20.897213,16.15249,False,14
119,5,15.987338,23.082228,False,5
120,14,10.926669,16.407063,False,14
121,14,10.689064,18.600428,False,14
122,14,10.630485,16.6803,False,14
123,14,10.549453,15.627432,False,14
124,14,10.7701,15.62734,False,14
125,14,11.5276985,19.579544,False,14
126,14,10.932282,20.41516,False,14
127,14,11.8883295,20.95476,False,14
128,14,10.424202,21.118557,False,14
129,14,11.790246,22.104717,False,5
130,14,10.229745,19.5467,False,14
131,14,9.544025,18.182793,False,14
132,14,8.31734,17.714977,False,14
133,14,8.665046,15.512049,False,14
134,14,8.415834,18.539541,False,14
135,14,8.972945,15.847734,False,14
136,14,9.500247,15.35262,False,14
137,14,8.3913145,17.066221,False,14
138,14,8.139514,16.886238,False,14
139,14,9.534377,19.161407,False,14
140,14,9.609026,14.390759,False,14
141,14,8.68286,15.989723,False,14
142,14,8.583878,16.61673,False,14
143,14,7.9414353,16.691994,False,14
144,14,8.886145,16.884508,False,14
145,14,10.09949,17.214357,False,14
146,14,8.646528,17.281338,False,14
147,14,9.153261,17.565355,False,14
148,14,9.874057,14.467488,False,14
149,14,9.145,14.930336,False,14
150,14,9.832662,15.167447,False,14
151,14,8.032555,15.9058485,False,14
152,14,8.972523,16.348934,False,14
153,14,9.551989,16.874943,False,14
154,14,9.208313,15.675364,False,14
155,14,9.715027,15.611209,False,14
156,14,10.100464,15.826143,False,14
157,14,9.269551,16.146229,False,14
158,14,9.797224,16.352255,False,14
159,14,9.493372,15.905347,False,14
160,14,14.359262,16.909338,False,14
161,14,13.804223,16.384193,False,14
162,14,14.40457,19.574114,False,14
163,14,14.258928,18.444426,False,14
164,14,15.154208,20.717344,False,14
165,14,14.131925,15.246283,False,14
166,5,15.530672,22.411777,False,5
167,5,15.430983,21.669806,False,5
168,14,15.007032,14.955281,False,14
169,14,14.101834,14.056286,False,14
170,14,13.610963,14.363044,False,14
171,14,13.36575,14.65994,False,14
172,8,5.9895124,47.26317,False,8
173,8,4.906683,46.90168,False,8
174,8,5.433911,46.94494,False,8
175,8,7.7423334,49.454285,False,8
176,8,6.818011,47.919876,False,8
177,8,6.1064253,48.164288,False,8
178,8,7.159401,48.935413,False,8
179,11,3.3128219,43.76181,False,11
180,8,2.499122,43.995365,False,8
181,8,2.1471353,43.08928,False,8
182,11,2.6070082,43.0841,False,11
183,8,3.552952,44.53558,False,8
184,11,3.7397451,43.49257,False,11
185,8,3.1604137,44.71151,False,8
186,11,3.916249,44.038025,False,11
187,8,3.3780532,46.83571,False,8
188,8,1.9532189,45.158993,False,8
189,8,2.3815517,45.848145,False,8
190,8,9.150902,50.56334,False,8
191,8,2.9396286,46.418545,False,8
192,8,4.023141,47.352848,False,8
193,8,7.996954,49.844948,False,8
194,8,5.6812563,48.62198,False,8
195,8,10.393404,51.035667,False,8
196,8,7.0803814,49.337063,False,8
197,8,1.8697311,45.003086,False,8
198,8,4.7227793,47.92938,False,8
199,8,3.5841866,46.491276,False,8
200,8,2.542389,45.841988,False,8
201,8,3.9961123,46.337013,False,8
202,8,3.1354315,46.209824,False,8
203,8,4.589601,47.016365,False,8
204,8,4.0680203,46.8558,False,8
205,8,5.223375,47.570923,False,8
206,8,5.358379,47.966713,False,8
207,8,2.8991406,45.85061,False,8
208,8,4.887391,47.697765,False,8
209,11,10.97863,48.572598,False,11
210,11,11.040522,49.412045,False,11
211,11,11.666792,50.793045,False,11
212,11,10.348339,46.742924,False,11
213,11,10.795204,47.466534,False,11
214,11,10.962765,50.761143,False,11
215,11,11.102503,50.107872,False,11
217,11,10.461167,43.952904,False,11
218,11,10.54256,45.372105,False,11
219,11,10.41778,43.265667,False,11
220,11,10.685574,46.21774,False,11
221,11,10.650044,43.577038,False,11
222,11,10.96093,43.242867,False,11
223,8,4.894068,45.748875,False,8
224,8,4.388465,46.05138,False,8
225,11,8.901769,45.76434,False,11
226,8,7.8010507,48.3981,False,8
227,11,8.459745,46.660347,False,11
228,8,5.824846,46.123947,False,8
229,8,6.2044344,46.91375,False,8
230,11,8.952569,46.301525,False,11
231,8,4.766173,46.200047,False,8
232,8,5.4532747,46.24246,False,8
233,8,7.967529,49.39122,False,8
234,8,7.008634,47.53709,False,8
235,8,8.178762,48.64356,False,8
236,8,7.0379996,47.220596,False,8
237,11,9.086835,44.39188,False,11
238,8,7.535132,48.784042,False,8
239,11,8.147358,47.539574,False,11
240,11,9.056219,44.98448,False,11
241,8,0.44437185,41.88742,False,8
242,8,-0.830958,41.395435,False,8
243,8,1.0934244,42.878498,False,8
244,8,0.7622732,42.9671,False,8
245,8,-0.41870305,41.860966,False,8
246,11,10.112961,48.811222,False,11
247,8,9.245729,50.27918,False,8
248,11,10.644447,49.36813,False,11
249,11,9.295636,46.517883,False,11
250,11,9.810202,46.93221,False,11
251,11,10.0620985,47.95922,False,11
252,11,8.353461,49.507854,False,11
253,11,8.538342,48.81902,False,11
254,11,10.221257,50.21303,False,11
255,11,8.563443,47.677296,False,11
256,11,10.622209,49.89251,False,11
257,11,9.501121,49.50659,False,11
258,11,9.178455,48.540176,False,11
259,11,9.140635,47.50645,False,11
260,11,9.925571,43.398163,False,11
261,11,9.9847,43.1933,False,11
262,11,9.661901,43.548035,False,11
263,11,9.462883,44.145947,False,11
264,8,2.1277368,45.05378,False,8
265,8,0.24568006,42.512608,False,8
266,8,2.500958,45.45314,False,8
267,8,1.0685452,43.59789,False,8
268,8,0.96192783,42.607166,False,8
269,8,3.2698977,45.594418,False,8
270,8,0.10124604,42.71161,False,8
271,8,0.58300155,42.909595,False,8
272,8,2.9596868,45.53142,False,8
273,8,-0.13965444,42.55541,False,8
274,8,1.6078329,44.267723,False,8
275,8,1.7285241,44.65425,False,8
276,8,1.8287638,44.611156,False,8
277,8,1.2174156,43.68174,False,8
278,8,2.3621905,42.272324,False,8
279,11,4.718474,45.17888,False,11
280,8,1.3338823,42.497044,False,8
281,8,3.8735025,45.55077,False,8
282,8,4.106404,42.182495,False,8
283,8,3.1217394,42.497597,False,8
284,8,3.4408922,45.66995,False,8
285,8,3.8041997,42.507587,False,8
286,8,3.0300338,42.599957,False,8
287,8,1.7219477,42.374702,False,8
288,8,2.2883844,45.06538,False,8
289,8,2.3323689,42.402786,False,8
290,8,2.4711962,45.542175,False,8
291,8,3.204203,43.482517,False,8
292,8,1.3880284,42.79958,False,8
293,8,2.5463498,43.921997,False,8
294,8,2.070081,42.77903,False,8
295,8,2.825787,42.52169,False,8
296,8,3.0107992,45.55039,False,8
297,8,1.9054475,44.972153,False,8
298,8,2.8170488,42.834946,False,8
299,8,2.0742395,44.618916,False,8
300,8,1.6728165,42.60441,False,8
301,8,2.5953097,44.97949,False,8
302,8,0.98703915,42.28388,False,8
303,8,2.450943,42.10251,False,8
304,11,4.624253,45.18652,False,11
305,8,3.7437289,42.01012,False,8
306,8,1.3766521,42.30435,False,8
307,8,4.0116787,45.528416,False,8
308,8,2.7455215,41.18946,False,8
309,8,3.9827147,42.113964,False,8
310,8,3.2777648,42.633533,False,8
311,8,3.3658907,45.62672,False,8
312,8,3.7466593,42.73298,False,8
313,8,4.2051396,43.242138,False,8
314,8,1.6788425,42.21282,False,8
315,8,4.083847,44.511497,False,8
316,8,3.8937042,43.368412,False,8
317,8,4.244522,43.877335,False,8
318,8,3.5973895,46.14289,False,8
319,8,0.7073308,41.438564,False,8
320,8,1.9622623,41.456566,False,8
321,8,-0.46497038,41.234737,False,8
322,8,4.5843635,45.08942,False,8
323,8,3.4128146,41.709606,False,8
324,8,1.0461326,43.23673,False,8
325,8,3.8559456,45.492935,False,8
326,8,2.2244666,44.306965,False,8
327,8,3.4322402,46.03458,False,8
328,8,4.673061,43.997177,False,8
329,8,4.656342,46.32185,False,8
330,8,2.6751127,41.455715,False,8
331,8,5.129625,46.319374,False,8
332,8,3.8562942,42.13884,False,8
333,8,3.1874683,42.15067,False,8
334,8,3.4232278,45.585278,False,8
335,8,0.9099605,43.209045,False,8
336,8,3.0984054,45.1905,False,8
337,8,-0.22779848,41.946686,False,8
338,8,1.7209164,43.966602,False,8
339,8,3.8466394,42.713566,False,8
340,8,1.9127357,44.306446,False,8
341,8,4.440151,43.040714,False,8
342,8,1.5866907,41.82288,False,8
343,8,1.4128101,43.4665,False,8
344,8,4.359434,44.607056,False,8
345,8,2.9134803,44.86219,False,8
346,8,-1.22284,41.695145,False,8
347,8,1.109416,43.861042,False,8
348,8,0.15146936,42.937298,False,8
349,8,0.5669764,43.22534,False,8
350,8,-0.55993587,42.198902,False,8
351,8,1.5195781,44.241447,False,8
