ISO3,country_code,country,country_en,source_iso3_values,iso3_resolution,row_count,admin_code_count,lat_lon_count,state_count,states_sample,first_year,last_year,month_values,year_month_count,first_year_month,last_year_month,overall_phase_nonmissing_rows,source_file
AFG,AF,Afghanistan,Afghanistan,AFG,source_ISO3,27440,140,258,34,Badakhshan Province; Badghis Province; Baghlan Province; Balkh Province; Bamyan Province; Daykundi Province; Farah Province; Faryab Province; Ghazni Province; Ghor Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,916,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
AGO,AO,Angola,Angola,AGO,source_ISO3,7840,40,80,4,Cuando Cubango Province; Cunene Province; Huíla Province; Namibe Province,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,68,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
BDI,BI,Burundi,Burundi,BDI,source_ISO3,5292,27,54,9,Bujumbura Mairie; Bujumbura Rural Province; Gitega; Karuzi; Kirundo; Makamba; Muyinga; Mwaro; Ruyigi,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,172,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
BEN,BJ,Benin,Benin,BEN,source_ISO3,13720,70,140,11,Alibori; Atakora; Atlantique; Borgou; Collines; Donga; Kouffo; Mono; Ouémé; Plateau,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,910,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
BFA,BF,Burkina Faso,Burkina Faso,BFA,source_ISO3,8820,45,90,0,,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,1036,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
BGD,BD,Bangladesh,Bangladesh,BGD,source_ISO3,8624,44,83,8,Barishal Division; Chattogram Division; Dhaka Division; Khulna Division; Mymensingh Division; Rajshahi Division; Rangpur Division; Sylhet Division,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,94,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
CAF,CF,Central African Republic,Central African Republic,CAF,source_ISO3,57896,298,535,17,Bamingui-Bangoran; Basse-Kotto; Haut-Mbomou; Haute-Kotto; Kémo; Lobaye; Mambéré-Kadéï; Mbomou; Nana-Grébizi; Nana-Mambéré,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,2388,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
CIV,CI,Cote d'Ivoire,Côte d'Ivoire,,country_code_lookup,6076,31,62,12,Bas-Sassandra; Comoé; Denguélé; Gôh-Djiboua; Lacs; Lagunes; Montagnes; Sassandra-Marahoué; Savanes; Vallée du Bandama,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,350,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
CMR,CM,Cameroon,Cameroon,CMR,source_ISO3,11368,58,116,10,Adamaoua; Centre; Est; Extrême-Nord; Littoral; Nord; Northwest; Ouest; Southwest; Sud,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,750,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
COD,CD,Democratic Republic of the Congo,"Congo, The Democratic Republic of the",COD,source_ISO3,79968,408,791,26,Central Kasai; Haut-Katanga; Haut-Lomami; Ituri; Kasai; Kasai-Oriental; Kinshasa; Kongo Central; Kwango; Kwilu,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,2416,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
CPV,CV,Cabo Verde,Cabo Verde,CPV,source_ISO3,4312,22,44,0,,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,207,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
DJI,DJ,Djibouti,Djibouti,DJI,source_ISO3,3136,16,21,6,Ali Sabieh; Arta; Dikhil; Obock; Tadjourah; Yoboki,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,133,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
DOM,DO,Dominican Republic,Dominican Republic,DOM,source_ISO3,6272,32,64,29,Azua; Baoruco; Barahona; Dajabón; Distrito Nacional; Duarte; El Seibo; Elías Piña; Hato Mayor; Hermanas Mirabal,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,142,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
ECU,EC,Ecuador,Ecuador,ECU,source_ISO3,4704,24,48,24,Azuay; Bolívar; Carchi; Cañar; Chimborazo; Cotopaxi; El Oro; Esmeraldas; Galápagos; Guayas,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,24,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
ETH,ET,Ethiopia,Ethiopia,ETH,source_ISO3,31752,162,324,8,Afar Region; Amhara Region; Central Ethiopia Regional State; Oromia Region; Sidama; Somali Region; South Ethiopia Regional State; Tigray,2010,2026,1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,196,2010-01,2026-04,374,/mnt/c/Users/swl00/IFPRI Dropbox/Weilun Shi/Google fund/Analysis/1.Source Data/assembled_IPCCH/raw/IPCCH_2026_completed.csv
