country,count
Nigeria,6436
Somalia,3537
Yemen,1744
Central African Republic,1665
"Congo, The Democratic Republic of the",1594
Sudan,1592
Chad,1479
Niger,1310
Mali,1117
South Sudan,1101
Burkina Faso,967
Benin,953
Senegal,950
Mozambique,767
Cameroon,660
Zambia,619
Afghanistan,583
Mauritania,558
Togo,552
Ghana,511
Guinea,479
Haiti,359
Cote d'Ivoire,337
Malawi,332
Kenya,300
Madagascar,296
Lebanon,274
Pakistan,269
Ethiopia,249
Zimbabwe,240
Sierra Leone,236
Cabo Verde,218
Guatemala,183
Uganda,174
Guinea-Bissau,124
Burundi,112
Honduras,110
Lesotho,110
Liberia,104
Namibia,98
Gambia,95
Bangladesh,90
"Tanzania, United Republic of",89
Eswatini,85
Dominican Republic,64
Djibouti,60
LAC,46
Angola,40
El Salvador,39
South Africa,34
Timor-Leste,28
Ecuador,24
"Palestine, State of",14
